类型,ID,章节,难度,题目内容,行号
练习题,1.1-1,第1章 算法在计算中的作用,normal,给出一个真实世界的例子，其中包含着下列的某种计算问题：排序，确定多矩阵相乘的最佳顺序，或者找出凸壳。,809
练习题,1.1-2,第1章 算法在计算中的作用,normal,除了运行速度以外，在真实世界问题背景中，还可以使用哪些效率指标？,810
练习题,1.1-3,第1章 算法在计算中的作用,normal,选择你原来见过的某种数据结构，讨论一下其长处和局限性。,811
练习题,1.1-4,第1章 算法在计算中的作用,normal,上文中给出的最短路径问题和旅行商人问题有哪些相似之处？有哪些不同之处？,812
练习题,1.1-5,第1章 算法在计算中的作用,normal,举出一个现实世界的问题例子，它只能用最佳解决方案来解决。再举出另一个例子，在其中“近似”最优解决也足以解决问题。,813
练习题,1.2-1,第1章 算法在计算中的作用,normal,给出一个实际应用的例子，它在应用这一层次上要求有算法性的内容。讨论其中所涉及算法的功能。,866
练习题,1.2-2,第1章 算法在计算中的作用,normal,假设我们要比较在同一台计算机上插入排序和合并排序的实现。对于规模为 $n $的输入，插入排序要运行 $8n^2 $步，而合并排序要运行 $64n \lg n $步。当 $n $取怎样的值时，插入排序的...,867
练习题,1.2-3,第1章 算法在计算中的作用,normal,对于一个运行时间为 $100n^{2} $的算法，要使其在同一台机器上，比一个运行时间为 $2^{n} $的算法运行得更快， $n $的最小取值是多少？,868
练习题,2.1-1,第2章 算法入门,normal,"以图2-2为模型，说明INSERTION-SORT在数组 $A = \langle 31,41,59,26,41,58\rangle $上的执行过程。",995
练习题,2.1-2,第2章 算法入门,normal,重写过程 INSERTION-SORT，使之按非升序（而不是按非降序）排序。,996
练习题,2.1-3,第2章 算法入门,normal,"考虑下面的查找问题： 输入：一列数 $A = \langle a_1, a_2, \dots, a_n \rangle $和一个值 $v $。 输出：下标 $i $，使得 $v = A[i] $，或者...",998
练习题,2.1-4,第2章 算法入门,normal,有两个各存放在数组 $A $和 $B $中的 $n $位二进整数，考虑它们的相加问题。两个整数的和以二进制形式存放在具有 $(n + 1) $个元素的数组 $C $中。请给出这个问题的形式化描述，并写...,1006
练习题,2.2-1,第2章 算法入门,normal,用 $\Theta $形式表示函数 $n^3 / 1000 - 100n^2 - 100n + 3 $。,1096
练习题,2.2-2,第2章 算法入门,normal,考虑对数组 $A $中的 $n $个数进行排序的问题：首先找出 $A $中的最小元素，并将其与 $A[1] $中的元素进行交换。接着，找出 $A $中的次最小元素，并将其与 $A[2] $中的元素进行...,1097
练习题,2.2-3,第2章 算法入门,normal,再次考虑线性查找问题(见练习2.1-3)。在平均情况下，需要检查输入序列中的多少个元素？假定待查找的元素是数组中任何一个元素的可能性是相等的。在最坏情况下又怎样呢？用 $\Theta $形式表示的话，...,1098
练习题,2.2-4,第2章 算法入门,normal,应如何修改任何一个算法，才能使之具有较好的最佳情况运行时间？,1099
练习题,2.3-1,第2章 算法入门,normal,"以图2-4为模型，说明合并排序在输入数组 $A = \langle 3, 41, 52, 26, 38, 57, 9, 49 \rangle $上的执行过程。",1274
练习题,2.3-2,第2章 算法入门,normal,改写MERGE过程，使之不使用哨兵元素，而是在一旦数组 $L $或 $R $中的所有元素都被复制回数组 $A $后，就立即停止，再将另一个数组中余下的元素复制回数组 $A $中。,1275
练习题,2.3-3,第2章 算法入门,normal,利用数学归纳法证明：当 $n $是 2 的整数次幂时，递归式 $ $T (n) = \left\{ \begin{array}{l l} 2 & \text {如 果} n = 2 \\ 2 T (n...,1276
练习题,2.3-4,第2章 算法入门,normal,插入排序可以如下改写成一个递归过程：为排序 $A[1..n] $，先递归地排序 $A[1..n-1] $，然后再将 $A[n] $插入到已排序的数组 $A[1..n-1] $中去。对于插入排序的这一递...,1284
练习题,2.3-5,第2章 算法入门,normal,回顾一下练习 2.1-3 中提出的查找问题，注意如果序列 $A $是已排序的，就可以将该序列的中点与 $\pmb{v} $进行比较。根据比较的结果，原序列中有一半就可以不用再做进一步的考虑了。二分查找...,1286
练习题,2.3-6,第2章 算法入门,normal,观察一下 2.1 节中给出的 INSERTION-SORT 过程，在第 $5 \sim 7 $行的 while 循环中，采用了一种线性查找策略，在已排序的子数组 $A[1..j - 1] $中（反向）...,1288
练习题,3.1-1,第3章 函数的增长,normal,"设 $f(n) $与 $g(n) $都是渐近非负函数。利用 $\Theta $记号的基本定义来证明 $\max(f(n), g(n)) = \Theta(f(n) + g(n)) $。",1626
练习题,3.1-2,第3章 函数的增长,normal,证明对任意实常数 $a $和 $b $，其中 $b > 0 $，有 $ $(n + a) ^ {b} = \Theta (n ^ {b}) \tag {3.2} $ $,1627
练习题,3.1-3,第3章 函数的增长,normal,解释为什么“算法 $A $的运行时间至少是 $O(n^{2}) $”这句话是无意义的。,1633
练习题,3.1-4,第3章 函数的增长,normal, $2^{n + 1} = O(2^n) $成立吗？ $2^{2n} = O(2^n) $成立吗？,1634
练习题,3.1-5,第3章 函数的增长,normal,证明定理3.1。,1635
练习题,3.1-6,第3章 函数的增长,normal,证明：一个算法的运行时间是 $\Theta(g(n)) $当且仅当其最坏情况运行时间是 $O(g(n)) $，且最佳情况运行时间是 $\Omega(g(n)) $。,1636
练习题,3.1-7,第3章 函数的增长,normal,证明 $o(g(n)) \cap \omega(g(n)) $是空集。,1637
练习题,3.1-8,第3章 函数的增长,normal,"可以将我们的表示法扩展到有两个参数 $n $和 $m $的情形，其中 $n $和 $m $的值可以以不同的速率，互相独立地趋于无穷。对给定的函数 $g(n, m) $， $O(g(n, m)) $为函...",1638
练习题,3.2-1,第3章 函数的增长,normal,证明：若 $f(n) $和 $g(n) $是单调递增的函数，则 $f(n) + g(n) $和 $f(g(n)) $也是单调递增的；另外，若 $f(n) $和 $g(n) $是非负的，那么 $f(n)...,1906
练习题,3.2-2,第3章 函数的增长,normal,证明等式（3.15）。,1907
练习题,3.2-3,第3章 函数的增长,normal,证明等式(3.18)。并证明 $n! = \omega (2^n) $和 $n! = o(n^{n}) $。,1908
练习题,*3.2-4,第3章 函数的增长,hard,函数 $\lceil \lg n \rceil! $是否多项式有界？函数 $\lceil \lg \lg n \rceil! $呢？,1909
练习题,*3.2-5,第3章 函数的增长,hard,哪一个在渐近上更大些： $\lg (\lg^{*}n) $还是 $\lg^{*}(\lg n)? $,1910
练习题,3.2-6,第3章 函数的增长,normal,用归纳法证明：第 $i $个斐波那契数满足等式 $ $F _ {i} = \frac {\phi^ {i} - \hat {\phi} ^ {i}}{\sqrt {5}} $ $其中 $\phi $是...,1911
练习题,3.2-7,第3章 函数的增长,normal,证明：对于 $i \geqslant 0 $，第 $(i + 2) $个斐波那契数满足 $F_{i + 2} \geqslant \phi^i $。,1919
练习题,4.1-1,第4章 递归式,normal,证明 $T(n) = T(\lceil n / 2\rceil) + 1 $的解为 $O(\lg n) $。,2155
练习题,4.1-2,第4章 递归式,normal,证明 $T(n) = 2T(\lfloor n / 2\rfloor) + n $的解为 $O(n\lg n) $。证明这个递归的解也是 $\Omega (n\lg n) $。得到解为 $\Theta...,2156
练习题,4.1-3,第4章 递归式,normal,证明：通过作不同的递归假设，对递归式(4.4)我们可以克服在证明边界条件 $T(1) = 1 $时的困难，同时无需调整归纳证明中的边界情况。,2157
练习题,4.1-4,第4章 递归式,normal,证明合并排序算法的“准确”递归式(4.2)的解为 $\Theta (n\lg n) $。,2158
练习题,4.1-5,第4章 递归式,normal,证明 $T(n) = 2T(\lfloor n / 2\rfloor +17) + n $的解为 $O(n\lg n) $,2159
练习题,4.1-6,第4章 递归式,normal,通过改变变量求解递归式 $T(n) = 2T(\sqrt{n}) + 1 $。得到的解应当是渐近精确的。不必担心值是否为整数。,2160
练习题,4.2-1,第4章 递归式,normal,利用递归树来猜测递归式 $T(n) = 3T(\lfloor n / 2\rfloor) + n $的一个好的渐近上界，并利用代换法来证明你的猜测。,2241
练习题,4.2-2,第4章 递归式,normal,利用递归树来证明递归式 $T(n) = T(n / 3) + T(2n / 3) + cn $的解是 $\Omega (n\lg n) $，其中 $c $是一个常数。,2242
练习题,4.2-3,第4章 递归式,normal,画出 $T(n) = 4T(\lfloor n / 2\rfloor) + cn $的递归树，并给出其解的渐近确界，其中 $c $是一个常数。然后，用代换法证明你给出的界。,2243
练习题,4.2-4,第4章 递归式,normal,利用递归树来找出递归式 $T(n) = T(n - a) + T(a) + cn $的渐近紧确解，其中 $a \geqslant 1 $且 $c > 0 $是常数。,2244
练习题,4.2-5,第4章 递归式,normal,利用递归树来找出递归式 $T(n) = T(\alpha n) + T((1 - \alpha)n) + cn $的渐近紧确解，其中 $\alpha $是 $0 < \alpha < 1 $的常数，且...,2245
